trial,rider,path,path_time,path_end_time,n_orders,delta_mean,delta_min,delta_max
trial 33,rider 3,path 2,27,63,1,-14.0,-14,-14
trial 33,rider 3,path 3,34,98,3,-3.3333333333333335,-10,4
trial 34,rider 1,path 1,32,58,2,-11.0,-17,-5
trial 34,rider 1,path 2,41,100,3,-3.6666666666666665,-10,8
trial 34,rider 2,path 1,9,19,1,-23.0,-23,-23
trial 34,rider 2,path 2,45,77,4,-1.0,-13,13
trial 34,rider 3,path 1,23,32,1,-16.0,-16,-16
trial 34,rider 3,path 2,33,74,2,-10.5,-15,-6
trial 35,rider 1,path 1,23,30,1,-16.0,-16,-16
trial 35,rider 1,path 2,13,56,1,-21.0,-21,-21
trial 35,rider 1,path 3,23,82,2,-16.0,-19,-13
trial 35,rider 2,path 1,36,49,2,-9.5,-17,-2
trial 35,rider 2,path 2,26,76,2,-14.5,-17,-12
trial 35,rider 3,path 1,23,28,1,-16.0,-16,-16
trial 35,rider 3,path 2,48,77,4,-0.5,-17,17
trial 36,rider 1,path 1,29,47,3,-11.666666666666666,-22,-3
trial 36,rider 1,path 2,33,93,2,-12.0,-18,-6
trial 36,rider 2,path 1,25,39,1,-15.0,-15,-15
trial 36,rider 2,path 2,40,85,3,-6.0,-19,9
trial 36,rider 3,path 1,27,38,1,-14.0,-14,-14
trial 36,rider 3,path 2,38,82,3,3.3333333333333335,-8,14
trial 37,rider 1,path 1,28,44,3,-13.333333333333334,-22,-5
trial 37,rider 1,path 2,48,93,4,2.25,-14,20
trial 37,rider 2,path 1,11,18,1,-22.0,-22,-22
trial 37,rider 2,path 2,25,53,1,-15.0,-15,-15
trial 37,rider 2,path 3,11,70,1,-22.0,-22,-22
trial 37,rider 3,path 1,15,21,1,-20.0,-20,-20
trial 37,rider 3,path 2,25,50,1,-15.0,-15,-15
trial 37,rider 3,path 3,19,79,1,-18.0,-18,-18
trial 38,rider 1,path 1,17,50,1,-19.0,-19,-19
trial 38,rider 1,path 2,25,76,1,-15.0,-15,-15
trial 38,rider 2,path 1,23,57,1,-16.0,-16,-16
trial 38,rider 2,path 2,50,112,4,-1.75,-17,14
trial 38,rider 3,path 1,23,31,1,-16.0,-16,-16
trial 38,rider 3,path 2,54,99,5,2.2,-16,21
trial 39,rider 1,path 1,17,22,1,-19.0,-19,-19
trial 39,rider 1,path 2,21,45,1,-17.0,-17,-17
trial 39,rider 1,path 3,18,69,2,-18.0,-22,-14
trial 39,rider 1,path 4,15,85,1,-12.0,-12,-12
trial 39,rider 2,path 1,23,49,1,-16.0,-16,-16
trial 39,rider 2,path 2,19,69,1,-11.0,-11,-11
trial 39,rider 2,path 3,27,97,1,-8.0,-8,-8
trial 39,rider 3,path 1,23,29,1,-16.0,-16,-16
trial 39,rider 3,path 2,31,69,3,-14.0,-22,-7
trial 39,rider 3,path 3,27,97,1,-5.0,-5,-5
trial 40,rider 1,path 1,15,33,1,-20.0,-20,-20
trial 40,rider 1,path 2,9,61,1,-23.0,-23,-23
trial 40,rider 1,path 3,54,116,5,-0.8,-21,17
trial 40,rider 2,path 1,17,34,1,-19.0,-19,-19
trial 40,rider 2,path 2,23,72,2,-21.0,-26,-16
trial 40,rider 3,path 1,23,30,1,-16.0,-16,-16
trial 40,rider 3,path 2,19,50,1,-11.0,-11,-11
trial 40,rider 3,path 3,17,68,1,-19.0,-19,-19
trial 41,rider 1,path 1,13,37,1,-21.0,-21,-21
trial 41,rider 1,path 2,41,80,3,-6.0,-18,7
trial 41,rider 2,path 1,23,39,1,-16.0,-16,-16
trial 41,rider 2,path 2,31,88,2,-8.0,-11,-5
trial 41,rider 3,path 1,31,40,1,-12.0,-12,-12
trial 41,rider 3,path 2,51,113,5,-0.2,-14,20
trial 42,rider 1,path 1,7,14,1,-24.0,-24,-24
trial 42,rider 1,path 2,15,37,1,-20.0,-20,-20
trial 42,rider 1,path 3,15,55,1,-20.0,-20,-20
trial 42,rider 1,path 4,24,83,2,-14.0,-19,-9
trial 42,rider 2,path 1,17,31,1,-19.0,-19,-19
trial 42,rider 2,path 2,11,43,1,-18.0,-18,-18
trial 42,rider 2,path 3,27,83,2,-14.0,-20,-8
trial 42,rider 3,path 1,25,34,1,-15.0,-15,-15
trial 42,rider 3,path 2,29,70,2,-12.5,-15,-10
trial 42,rider 3,path 3,25,96,1,-8.0,-8,-8
trial 43,rider 1,path 1,15,34,1,-20.0,-20,-20
trial 43,rider 1,path 2,27,72,2,-17.0,-24,-10
trial 43,rider 2,path 1,15,24,1,-20.0,-20,-20
trial 43,rider 2,path 2,15,42,1,-20.0,-20,-20
trial 43,rider 2,path 3,27,70,3,-13.0,-28,2
trial 43,rider 2,path 4,31,102,2,-5.5,-11,0
trial 43,rider 3,path 1,21,26,1,-17.0,-17,-17
trial 43,rider 3,path 2,23,50,1,-13.0,-13,-13
trial 43,rider 3,path 3,21,72,1,-17.0,-17,-17
trial 44,rider 1,path 1,25,33,2,-12.5,-18,-7
trial 44,rider 1,path 2,34,84,2,-10.0,-12,-8
trial 44,rider 2,path 1,19,32,1,-18.0,-18,-18
trial 44,rider 2,path 2,39,72,4,-1.25,-11,13
trial 44,rider 3,path 1,25,35,1,-15.0,-15,-15
trial 44,rider 3,path 2,21,59,1,-17.0,-17,-17
trial 44,rider 3,path 3,34,95,2,-10.5,-13,-8
trial 45,rider 1,path 1,17,32,1,-19.0,-19,-19
trial 45,rider 1,path 2,19,52,1,-17.0,-17,-17
trial 45,rider 1,path 3,32,91,3,-19.333333333333332,-30,-6
trial 45,rider 2,path 1,13,34,1,-21.0,-21,-21
trial 45,rider 2,path 2,28,77,3,-11.0,-23,2
trial 45,rider 3,path 1,21,39,1,-17.0,-17,-17
trial 45,rider 3,path 2,26,71,2,-13.5,-18,-9
trial 45,rider 3,path 3,15,87,1,-12.0,-12,-12
trial 46,rider 1,path 1,24,35,2,-16.0,-19,-13
trial 46,rider 1,path 2,43,97,4,-6.25,-23,8
trial 46,rider 2,path 1,19,24,1,-18.0,-18,-18
trial 46,rider 2,path 2,42,69,3,-6.666666666666667,-15,-1
trial 46,rider 3,path 1,23,30,1,-16.0,-16,-16
trial 46,rider 3,path 2,31,65,1,-12.0,-12,-12
trial 46,rider 3,path 3,11,77,1,-17.0,-17,-17
trial 47,rider 1,path 1,22,31,2,-17.5,-21,-14
trial 47,rider 1,path 2,33,65,3,2.0,0,6
trial 47,rider 2,path 1,23,31,1,-16.0,-16,-16
trial 47,rider 2,path 2,23,58,1,-16.0,-16,-16
trial 47,rider 2,path 3,26,85,2,-12.0,-15,-9
trial 47,rider 3,path 1,27,34,2,-13.5,-16,-11
trial 47,rider 3,path 2,27,62,1,-1.0,-1,-1
trial 47,rider 3,path 3,21,85,1,-17.0,-17,-17
trial 48,rider 1,path 1,17,26,1,-19.0,-19,-19
trial 48,rider 1,path 2,29,71,3,-13.666666666666666,-23,-1
trial 48,rider 2,path 1,28,54,4,-13.25,-28,-5
trial 48,rider 2,path 2,29,92,2,-15.0,-20,-10
trial 48,rider 3,path 1,23,34,1,-16.0,-16,-16
trial 48,rider 3,path 2,29,64,2,-10.5,-14,-7
trial 49,rider 1,path 1,16,37,2,-19.5,-24,-15
trial 49,rider 1,path 2,13,55,1,-21.0,-21,-21
trial 49,rider 1,path 3,29,93,2,-12.0,-18,-6
trial 49,rider 2,path 1,13,29,1,-21.0,-21,-21
trial 49,rider 2,path 2,28,58,2,-12.0,-14,-10
trial 49,rider 2,path 3,27,86,1,-3.0,-3,-3
trial 49,rider 3,path 1,23,29,1,-16.0,-16,-16
trial 49,rider 3,path 2,27,57,1,-12.0,-12,-12
trial 49,rider 3,path 3,30,88,2,-8.5,-10,-7
trial 50,rider 1,path 1,11,18,1,-22.0,-22,-22
trial 50,rider 1,path 2,19,43,1,-18.0,-18,-18
trial 50,rider 1,path 3,19,63,1,-8.0,-8,-8
trial 50,rider 1,path 4,47,111,4,-1.75,-18,11
trial 50,rider 2,path 1,15,21,1,-20.0,-20,-20
trial 50,rider 2,path 2,21,43,1,-16.0,-16,-16
trial 50,rider 2,path 3,23,73,1,-16.0,-16,-16
trial 50,rider 3,path 1,13,21,1,-21.0,-21,-21
trial 50,rider 3,path 2,21,43,1,-14.0,-14,-14
trial 50,rider 3,path 3,23,67,1,-14.0,-14,-14
trial 51,rider 1,path 1,23,37,1,-16.0,-16,-16
trial 51,rider 1,path 2,22,60,2,-13.5,-17,-10
trial 51,rider 1,path 3,39,101,4,-5.75,-14,8
trial 51,rider 2,path 1,15,22,1,-20.0,-20,-20
trial 51,rider 2,path 2,27,65,1,-12.0,-12,-12
trial 51,rider 3,path 1,17,22,1,-19.0,-19,-19
trial 51,rider 3,path 2,17,40,1,-17.0,-17,-17
trial 51,rider 3,path 3,30,75,2,-12.0,-17,-7
trial 52,rider 1,path 1,21,37,2,-16.5,-19,-14
trial 52,rider 1,path 2,35,73,3,-7.666666666666667,-22,2
trial 52,rider 2,path 1,23,41,1,-16.0,-16,-16
trial 52,rider 2,path 2,30,76,2,-12.0,-16,-8
trial 52,rider 3,path 1,17,27,1,-19.0,-19,-19
trial 52,rider 3,path 2,21,49,1,-16.0,-16,-16
trial 52,rider 3,path 3,42,99,3,-5.0,-13,7
trial 53,rider 1,path 1,23,30,1,-16.0,-16,-16
trial 53,rider 1,path 2,47,81,5,0.8,-11,14
trial 53,rider 2,path 1,29,44,2,-14.5,-20,-9
trial 53,rider 2,path 2,27,77,1,-14.0,-14,-14
trial 53,rider 2,path 3,24,102,2,3.5,2,5
trial 53,rider 3,path 1,29,40,1,-13.0,-13,-13
trial 53,rider 3,path 2,29,78,1,-13.0,-13,-13
trial 54,rider 1,path 1,20,33,2,-15.0,-18,-12
trial 54,rider 1,path 2,19,60,1,-18.0,-18,-18
trial 54,rider 2,path 1,27,42,1,-14.0,-14,-14
trial 54,rider 2,path 2,52,109,5,4.6,-21,28
trial 54,rider 3,path 1,13,18,1,-21.0,-21,-21
trial 54,rider 3,path 2,28,60,2,-13.0,-15,-11
trial 54,rider 3,path 3,21,83,1,-17.0,-17,-17
trial 55,rider 1,path 1,30,49,2,-11.0,-16,-6
trial 55,rider 1,path 2,11,66,1,-22.0,-22,-22
trial 55,rider 1,path 3,29,96,3,-9.0,-17,-1
trial 55,rider 2,path 1,31,47,1,-12.0,-12,-12
trial 55,rider 2,path 2,25,73,2,-11.5,-17,-6
trial 55,rider 3,path 1,19,28,1,-18.0,-18,-18
trial 55,rider 3,path 2,38,70,3,-7.0,-14,6
trial 56,rider 1,path 1,11,20,1,-22.0,-22,-22
trial 56,rider 1,path 2,32,66,3,-7.333333333333333,-12,-1
trial 56,rider 2,path 1,25,35,1,-15.0,-15,-15
trial 56,rider 2,path 2,23,62,1,-16.0,-16,-16
trial 56,rider 2,path 3,51,114,5,-1.6,-15,16
trial 56,rider 3,path 1,27,33,1,-14.0,-14,-14
trial 56,rider 3,path 2,31,65,1,-8.0,-8,-8
trial 57,rider 1,path 1,40,57,3,-6.0,-18,9
trial 57,rider 1,path 2,34,95,3,-3.6666666666666665,-16,7
trial 57,rider 2,path 1,23,30,1,-16.0,-16,-16
trial 57,rider 2,path 2,15,46,1,-14.0,-14,-14
trial 57,rider 2,path 3,23,70,1,-14.0,-14,-14
trial 57,rider 3,path 1,27,32,1,-14.0,-14,-14
trial 57,rider 3,path 2,21,58,1,-17.0,-17,-17
trial 57,rider 3,path 3,30,91,2,-10.5,-13,-8
trial 58,rider 1,path 1,15,36,1,-20.0,-20,-20
trial 58,rider 1,path 2,22,59,2,-11.0,-11,-11
trial 58,rider 1,path 3,35,97,3,-2.3333333333333335,-18,10
trial 58,rider 2,path 1,17,37,1,-19.0,-19,-19
trial 58,rider 2,path 2,29,73,3,-14.666666666666666,-24,-3
trial 58,rider 3,path 1,19,31,1,-18.0,-18,-18
trial 58,rider 3,path 2,33,76,2,-9.5,-16,-3
trial 59,rider 1,path 1,9,17,1,-23.0,-23,-23
trial 59,rider 1,path 2,24,57,2,-13.5,-19,-8
trial 59,rider 2,path 1,26,55,2,-13.0,-14,-12
trial 59,rider 2,path 2,15,78,1,-20.0,-20,-20
trial 59,rider 3,path 1,9,17,1,-23.0,-23,-23
trial 59,rider 3,path 2,21,46,1,-17.0,-17,-17
trial 59,rider 3,path 3,50,105,5,0.4,-23,15
trial 60,rider 1,path 1,21,26,1,-17.0,-17,-17
trial 60,rider 1,path 2,43,70,4,-1.75,-14,13
trial 60,rider 2,path 1,39,51,3,-8.333333333333334,-23,4
trial 60,rider 2,path 2,24,84,2,-14.5,-18,-11
trial 60,rider 3,path 1,27,33,1,-14.0,-14,-14
trial 60,rider 3,path 2,34,95,2,-9.5,-15,-4
trial 61,rider 1,path 1,34,55,4,-11.25,-24,-3
trial 61,rider 2,path 1,13,24,1,-21.0,-21,-21
trial 61,rider 2,path 2,13,45,1,-21.0,-21,-21
trial 61,rider 2,path 3,28,79,2,-15.0,-20,-10
trial 61,rider 3,path 1,23,29,1,-16.0,-16,-16
trial 61,rider 3,path 2,51,94,4,0.25,-13,19
trial 62,rider 1,path 1,15,22,1,-20.0,-20,-20
trial 62,rider 1,path 2,17,48,1,-19.0,-19,-19
trial 62,rider 1,path 3,22,76,2,-10.5,-18,-3
trial 62,rider 2,path 1,21,32,1,-17.0,-17,-17
trial 62,rider 2,path 2,23,72,1,-15.0,-15,-15
trial 62,rider 3,path 1,35,53,3,-8.0,-19,1
trial 62,rider 3,path 2,40,101,4,-6.0,-21,9
trial 63,rider 1,path 1,36,57,2,-9.0,-18,0
trial 63,rider 1,path 2,13,76,2,-24.0,-27,-21
trial 63,rider 2,path 1,27,43,1,-14.0,-14,-14
trial 63,rider 2,path 2,35,89,3,-8.0,-19,4
