trial,rider,path,path_time,n_orders,delta_mean,delta_min,delta_max
trial 1,rider 1,path 1,29,1,-13.0,-13,-13
trial 1,rider 2,path 1,9,1,-23.0,-23,-23
trial 1,rider 2,path 2,26,3,-18.666666666666668,-28,-7
trial 1,rider 3,path 1,23,1,-16.0,-16,-16
trial 1,rider 3,path 2,63,7,10.857142857142858,-16,31
trial 2,rider 1,path 1,26,2,-12.0,-17,-7
trial 2,rider 1,path 2,15,1,-20.0,-20,-20
trial 2,rider 2,path 1,62,7,9.285714285714286,-20,34
trial 2,rider 3,path 1,7,1,-24.0,-24,-24
trial 2,rider 3,path 2,27,1,-14.0,-14,-14
trial 2,rider 3,path 3,29,1,-13.0,-13,-13
trial 3,rider 1,path 1,17,1,-19.0,-19,-19
trial 3,rider 1,path 2,28,2,-9.0,-9,-9
trial 3,rider 1,path 3,27,1,-14.0,-14,-14
trial 3,rider 2,path 1,27,2,-13.0,-15,-11
trial 3,rider 2,path 2,35,3,-10.0,-18,-2
trial 3,rider 3,path 1,29,1,-13.0,-13,-13
trial 3,rider 3,path 2,24,3,-17.333333333333332,-26,-12
trial 4,rider 1,path 1,27,2,-12.5,-16,-9
trial 4,rider 1,path 2,30,2,-16.0,-22,-10
trial 4,rider 2,path 1,15,1,-20.0,-20,-20
trial 4,rider 2,path 2,31,2,-7.5,-14,-1
trial 4,rider 2,path 3,29,2,-10.5,-11,-10
trial 4,rider 3,path 1,21,1,-17.0,-17,-17
trial 4,rider 3,path 2,37,3,-9.0,-16,0
trial 5,rider 1,path 1,37,3,-4.333333333333333,-17,5
trial 5,rider 2,path 1,9,1,-23.0,-23,-23
trial 5,rider 2,path 2,33,2,-8.5,-13,-4
trial 5,rider 2,path 3,23,1,-11.0,-11,-11
trial 5,rider 3,path 1,27,1,-14.0,-14,-14
trial 5,rider 3,path 2,49,5,-0.2,-15,23
trial 6,rider 1,path 1,20,2,-17.5,-21,-14
trial 6,rider 1,path 2,26,2,-16.5,-21,-12
trial 6,rider 2,path 1,21,1,-17.0,-17,-17
trial 6,rider 2,path 2,23,1,-16.0,-16,-16
trial 6,rider 2,path 3,29,2,-6.0,-14,2
trial 6,rider 3,path 1,17,1,-19.0,-19,-19
trial 6,rider 3,path 2,41,4,-11.25,-26,3
trial 7,rider 1,path 1,26,2,-15.0,-21,-9
trial 7,rider 1,path 2,21,2,-17.0,-20,-14
trial 7,rider 1,path 3,15,1,-3.0,-3,-3
trial 7,rider 2,path 1,27,1,-14.0,-14,-14
trial 7,rider 2,path 2,25,1,-8.0,-8,-8
trial 7,rider 3,path 1,15,1,-20.0,-20,-20
trial 7,rider 3,path 2,58,5,0.0,-20,19
trial 8,rider 1,path 1,17,1,-19.0,-19,-19
trial 8,rider 1,path 2,26,2,-12.5,-13,-12
trial 8,rider 1,path 3,45,4,-3.25,-24,6
trial 8,rider 2,path 1,21,1,-17.0,-17,-17
trial 8,rider 2,path 2,22,2,-16.0,-18,-14
trial 8,rider 3,path 1,25,1,-15.0,-15,-15
trial 8,rider 3,path 2,32,2,-10.0,-13,-7
trial 9,rider 1,path 1,17,1,-19.0,-19,-19
trial 9,rider 1,path 2,32,3,-6.0,-14,5
trial 9,rider 2,path 1,23,1,-16.0,-16,-16
trial 9,rider 2,path 2,57,5,5.4,-13,19
trial 9,rider 3,path 1,23,1,-16.0,-16,-16
trial 9,rider 3,path 2,33,2,-9.0,-12,-6
trial 10,rider 1,path 1,29,3,-11.0,-21,1
trial 10,rider 2,path 1,31,2,-12.0,-16,-8
trial 10,rider 2,path 2,19,1,-18.0,-18,-18
trial 10,rider 3,path 1,15,1,-20.0,-20,-20
trial 10,rider 3,path 2,62,6,8.0,-21,32
trial 11,rider 1,path 1,30,2,-10.5,-16,-5
trial 11,rider 1,path 2,16,2,-15.5,-16,-15
trial 11,rider 2,path 1,23,1,-16.0,-16,-16
trial 11,rider 2,path 2,56,5,1.4,-16,19
trial 11,rider 3,path 1,23,1,-16.0,-16,-16
trial 11,rider 3,path 2,31,2,-12.5,-16,-9
trial 12,rider 1,path 1,24,2,-14.0,-18,-10
trial 12,rider 1,path 2,15,1,-20.0,-20,-20
trial 12,rider 1,path 3,36,2,-7.5,-12,-3
trial 12,rider 2,path 1,19,1,-18.0,-18,-18
trial 12,rider 2,path 2,35,3,-8.333333333333334,-14,0
trial 12,rider 3,path 1,23,1,-16.0,-16,-16
trial 12,rider 3,path 2,35,3,-1.0,-7,8
trial 13,rider 1,path 1,11,1,-22.0,-22,-22
trial 13,rider 1,path 2,28,2,-11.0,-16,-6
trial 13,rider 1,path 3,17,1,-19.0,-19,-19
trial 13,rider 2,path 1,27,1,-14.0,-14,-14
trial 13,rider 2,path 2,48,5,-3.8,-28,14
trial 13,rider 3,path 1,13,1,-21.0,-21,-21
trial 13,rider 3,path 2,23,1,-16.0,-16,-16
trial 13,rider 3,path 3,23,1,-16.0,-16,-16
trial 14,rider 1,path 1,13,1,-21.0,-21,-21
trial 14,rider 1,path 2,33,3,-11.333333333333334,-23,-3
trial 14,rider 2,path 1,57,6,3.3333333333333335,-12,23
trial 14,rider 3,path 1,19,1,-18.0,-18,-18
trial 14,rider 3,path 2,15,1,-20.0,-20,-20
trial 14,rider 3,path 3,23,1,-16.0,-16,-16
trial 15,rider 1,path 1,20,2,-19.5,-24,-15
trial 15,rider 1,path 2,31,3,-9.0,-19,0
trial 15,rider 2,path 1,19,1,-18.0,-18,-18
trial 15,rider 2,path 2,21,1,-15.0,-15,-15
trial 15,rider 2,path 3,32,3,-6.666666666666667,-17,4
trial 15,rider 3,path 1,25,1,-15.0,-15,-15
trial 15,rider 3,path 2,30,2,-8.5,-18,1
trial 16,rider 1,path 1,15,1,-18.0,-18,-18
trial 16,rider 1,path 2,40,4,-3.75,-10,4
trial 16,rider 2,path 1,21,1,-17.0,-17,-17
trial 16,rider 2,path 2,17,1,-19.0,-19,-19
trial 16,rider 2,path 3,28,2,-14.5,-24,-5
trial 16,rider 3,path 1,27,1,-14.0,-14,-14
trial 16,rider 3,path 2,19,1,-18.0,-18,-18
trial 16,rider 3,path 3,31,2,-2.5,-6,1
trial 17,rider 1,path 1,13,1,-21.0,-21,-21
trial 17,rider 1,path 2,29,2,-15.0,-22,-8
trial 17,rider 2,path 1,29,2,-15.0,-21,-9
trial 17,rider 2,path 2,29,2,-13.0,-16,-10
trial 17,rider 3,path 1,31,1,-12.0,-12,-12
trial 17,rider 3,path 2,50,5,0.8,-19,18
trial 18,rider 1,path 1,17,1,-19.0,-19,-19
trial 18,rider 1,path 2,21,2,-10.5,-18,-3
trial 18,rider 1,path 3,45,4,3.0,-20,18
trial 18,rider 2,path 1,17,1,-19.0,-19,-19
trial 18,rider 2,path 2,33,2,-6.5,-15,2
trial 18,rider 3,path 1,23,1,-16.0,-16,-16
trial 18,rider 3,path 2,30,2,-9.5,-10,-9
trial 19,rider 1,path 1,17,1,-19.0,-19,-19
trial 19,rider 1,path 2,17,1,-19.0,-19,-19
trial 19,rider 1,path 3,26,2,-3.5,-11,4
trial 19,rider 2,path 1,46,4,-3.75,-15,8
trial 19,rider 3,path 1,19,2,-23.5,-30,-17
trial 19,rider 3,path 2,21,1,-17.0,-17,-17
trial 19,rider 3,path 3,25,2,-10.0,-12,-8
trial 20,rider 1,path 1,20,2,-17.5,-22,-13
trial 20,rider 1,path 2,21,1,-17.0,-17,-17
trial 20,rider 1,path 3,30,2,-12.5,-16,-9
trial 20,rider 2,path 1,17,1,-19.0,-19,-19
trial 20,rider 2,path 2,30,2,-6.5,-14,1
trial 20,rider 2,path 3,34,2,2.5,-8,13
trial 20,rider 3,path 1,23,2,-23.0,-30,-16
trial 20,rider 3,path 2,27,1,-14.0,-14,-14
trial 21,rider 1,path 1,17,1,-19.0,-19,-19
trial 21,rider 1,path 2,42,3,-7.666666666666667,-20,3
trial 21,rider 2,path 1,23,1,-16.0,-16,-16
trial 21,rider 2,path 2,25,1,-15.0,-15,-15
trial 21,rider 3,path 1,21,1,-17.0,-17,-17
trial 21,rider 3,path 2,57,6,2.1666666666666665,-24,20
trial 22,rider 1,path 1,13,1,-21.0,-21,-21
trial 22,rider 1,path 2,36,4,-3.25,-18,8
trial 22,rider 2,path 1,23,1,-16.0,-16,-16
trial 22,rider 2,path 2,23,1,-16.0,-16,-16
trial 22,rider 3,path 1,25,1,-15.0,-15,-15
trial 22,rider 3,path 2,27,3,-16.666666666666668,-27,-6
trial 22,rider 3,path 3,36,2,-6.0,-12,0
trial 23,rider 1,path 1,13,1,-19.0,-19,-19
trial 23,rider 1,path 2,25,1,-15.0,-15,-15
trial 23,rider 1,path 3,17,1,-19.0,-19,-19
trial 23,rider 2,path 1,15,1,-20.0,-20,-20
trial 23,rider 2,path 2,13,1,-21.0,-21,-21
trial 23,rider 2,path 3,41,4,-3.75,-13,2
trial 23,rider 3,path 1,21,1,-17.0,-17,-17
trial 23,rider 3,path 2,43,3,-3.6666666666666665,-16,5
trial 24,rider 1,path 1,13,1,-21.0,-21,-21
trial 24,rider 1,path 2,29,1,-11.0,-11,-11
trial 24,rider 1,path 3,45,4,2.0,-24,24
trial 24,rider 2,path 1,20,2,-14.5,-18,-11
trial 24,rider 2,path 2,28,2,-10.0,-12,-8
trial 24,rider 3,path 1,19,1,-18.0,-18,-18
trial 24,rider 3,path 2,33,2,-10.0,-15,-5
trial 25,rider 1,path 1,13,1,-21.0,-21,-21
trial 25,rider 1,path 2,9,1,-23.0,-23,-23
trial 25,rider 1,path 3,34,3,-7.333333333333333,-19,1
trial 25,rider 2,path 1,17,1,-19.0,-19,-19
trial 25,rider 2,path 2,29,2,-8.0,-9,-7
trial 25,rider 3,path 1,17,1,-19.0,-19,-19
trial 25,rider 3,path 2,17,1,-15.0,-15,-15
trial 25,rider 3,path 3,42,3,-7.666666666666667,-20,4
trial 26,rider 1,path 1,19,1,-18.0,-18,-18
trial 26,rider 1,path 2,13,1,-12.0,-12,-12
trial 26,rider 1,path 3,22,2,-10.5,-19,-2
trial 26,rider 1,path 4,37,3,-0.3333333333333333,-10,5
trial 26,rider 2,path 1,27,1,-14.0,-14,-14
trial 26,rider 2,path 2,27,2,-7.5,-10,-5
trial 26,rider 3,path 1,27,1,-14.0,-14,-14
trial 26,rider 3,path 2,28,2,-14.5,-22,-7
trial 27,rider 1,path 1,17,1,-19.0,-19,-19
trial 27,rider 1,path 2,43,3,-5.0,-16,4
trial 27,rider 2,path 1,17,1,-19.0,-19,-19
trial 27,rider 2,path 2,25,1,-6.0,-6,-6
trial 27,rider 2,path 3,30,3,-4.0,-10,4
trial 27,rider 3,path 1,25,1,-15.0,-15,-15
trial 27,rider 3,path 2,23,1,-16.0,-16,-16
trial 27,rider 3,path 3,36,2,-11.5,-18,-5
trial 28,rider 1,path 1,50,5,-3.0,-21,16
trial 28,rider 2,path 1,23,1,-16.0,-16,-16
trial 28,rider 2,path 2,29,2,-13.0,-16,-10
trial 28,rider 3,path 1,21,1,-17.0,-17,-17
trial 28,rider 3,path 2,46,4,4.0,-11,22
trial 29,rider 1,path 1,33,2,-7.5,-15,0
trial 29,rider 1,path 2,20,2,-18.0,-21,-15
trial 29,rider 2,path 1,11,1,-22.0,-22,-22
trial 29,rider 2,path 2,25,1,-8.0,-8,-8
trial 29,rider 2,path 3,27,3,-6.333333333333333,-11,-3
trial 29,rider 3,path 1,11,1,-22.0,-22,-22
trial 29,rider 3,path 2,27,1,-14.0,-14,-14
trial 29,rider 3,path 3,25,2,-1.5,-8,5
trial 30,rider 1,path 1,24,2,-12.0,-15,-9
trial 30,rider 1,path 2,37,3,-6.666666666666667,-16,7
trial 30,rider 2,path 1,35,2,-12.0,-17,-7
trial 30,rider 3,path 1,27,1,-14.0,-14,-14
trial 30,rider 3,path 2,11,1,-22.0,-22,-22
trial 30,rider 3,path 3,45,4,-3.5,-12,14
trial 31,rider 1,path 1,30,2,-14.5,-22,-7
trial 31,rider 1,path 2,25,2,-15.0,-18,-12
trial 31,rider 2,path 1,33,2,-8.5,-11,-6
trial 31,rider 2,path 2,33,2,-3.0,-9,3
trial 31,rider 3,path 1,31,1,-12.0,-12,-12
trial 31,rider 3,path 2,19,1,-15.0,-15,-15
trial 31,rider 3,path 3,43,3,5.333333333333333,-8,16
trial 32,rider 1,path 1,19,1,-18.0,-18,-18
trial 32,rider 1,path 2,19,1,-18.0,-18,-18
trial 32,rider 2,path 1,11,1,-22.0,-22,-22
trial 32,rider 2,path 2,25,3,-13.333333333333334,-22,-3
trial 32,rider 2,path 3,38,3,2.3333333333333335,-10,18
trial 32,rider 3,path 1,25,1,-15.0,-15,-15
trial 32,rider 3,path 2,23,1,-15.0,-15,-15
trial 32,rider 3,path 3,33,2,-5.0,-7,-3
trial 33,rider 1,path 1,44,5,0.2,-9,14
trial 33,rider 2,path 1,27,1,-14.0,-14,-14
trial 33,rider 2,path 2,13,1,-21.0,-21,-21
trial 33,rider 2,path 3,47,4,0.5,-10,15
trial 33,rider 3,path 1,21,1,-17.0,-17,-17
trial 33,rider 3,path 2,25,1,-15.0,-15,-15
trial 34,rider 1,path 1,33,2,-9.5,-15,-4
trial 34,rider 1,path 2,40,3,-5.666666666666667,-23,5
trial 34,rider 2,path 1,11,1,-22.0,-22,-22
trial 34,rider 2,path 2,33,3,-5.333333333333333,-14,2
trial 34,rider 3,path 1,17,1,-19.0,-19,-19
trial 34,rider 3,path 2,11,1,-22.0,-22,-22
trial 34,rider 3,path 3,34,2,-7.5,-14,-1
trial 35,rider 1,path 1,9,1,-23.0,-23,-23
trial 35,rider 1,path 2,45,4,-3.5,-21,12
trial 35,rider 2,path 1,17,1,-19.0,-19,-19
trial 35,rider 2,path 2,30,2,-9.5,-15,-4
trial 35,rider 3,path 1,29,1,-13.0,-13,-13
trial 35,rider 3,path 2,25,1,-15.0,-15,-15
trial 35,rider 3,path 3,36,3,3.0,-13,15
trial 36,rider 1,path 1,13,1,-21.0,-21,-21
trial 36,rider 1,path 2,17,1,-19.0,-19,-19
trial 36,rider 1,path 3,17,1,-19.0,-19,-19
trial 36,rider 2,path 1,15,1,-20.0,-20,-20
trial 36,rider 2,path 2,17,1,-19.0,-19,-19
trial 36,rider 2,path 3,25,1,-12.0,-12,-12
trial 36,rider 3,path 1,19,1,-18.0,-18,-18
trial 36,rider 3,path 2,31,2,-12.0,-18,-6
trial 36,rider 3,path 3,40,4,-6.0,-19,8
trial 37,rider 1,path 1,15,1,-20.0,-20,-20
trial 37,rider 1,path 2,56,6,4.333333333333333,-16,25
trial 37,rider 2,path 1,23,1,-16.0,-16,-16
trial 37,rider 2,path 2,15,1,-20.0,-20,-20
trial 37,rider 3,path 1,23,1,-16.0,-16,-16
trial 37,rider 3,path 2,13,1,-21.0,-21,-21
trial 37,rider 3,path 3,40,2,-7.0,-12,-2
trial 38,rider 1,path 1,36,3,-7.666666666666667,-18,5
trial 38,rider 1,path 2,30,2,-8.0,-17,1
trial 38,rider 2,path 1,17,1,-19.0,-19,-19
trial 38,rider 2,path 2,29,3,-15.333333333333334,-22,-7
trial 38,rider 3,path 1,19,1,-18.0,-18,-18
trial 38,rider 3,path 2,13,1,-21.0,-21,-21
trial 38,rider 3,path 3,28,2,-11.0,-12,-10
trial 39,rider 1,path 1,30,2,-14.0,-18,-10
trial 39,rider 1,path 2,33,2,-10.5,-15,-6
trial 39,rider 2,path 1,27,1,-14.0,-14,-14
trial 39,rider 2,path 2,37,2,-5.5,-13,2
trial 39,rider 2,path 3,13,1,-4.0,-4,-4
trial 39,rider 3,path 1,9,1,-23.0,-23,-23
trial 39,rider 3,path 2,26,2,-11.5,-17,-6
trial 39,rider 3,path 3,32,2,-10.5,-13,-8
trial 40,rider 1,path 1,20,2,-17.0,-20,-14
trial 40,rider 1,path 2,15,1,-20.0,-20,-20
trial 40,rider 1,path 3,35,3,-6.0,-17,0
trial 40,rider 2,path 1,23,1,-16.0,-16,-16
trial 40,rider 2,path 2,23,1,-16.0,-16,-16
trial 40,rider 3,path 1,17,1,-19.0,-19,-19
trial 40,rider 3,path 2,37,4,-4.25,-10,-1
trial 41,rider 1,path 1,21,1,-17.0,-17,-17
trial 41,rider 1,path 2,38,3,-5.333333333333333,-18,7
trial 41,rider 2,path 1,55,5,1.2,-20,21
trial 41,rider 3,path 1,23,1,-16.0,-16,-16
trial 41,rider 3,path 2,25,1,-15.0,-15,-15
trial 41,rider 3,path 3,32,2,-9.5,-20,1
trial 42,rider 1,path 1,15,1,-20.0,-20,-20
trial 42,rider 1,path 2,34,2,-11.5,-18,-5
trial 42,rider 2,path 1,46,4,-4.0,-19,11
trial 42,rider 2,path 2,28,2,-17.0,-23,-11
trial 42,rider 3,path 1,23,1,-16.0,-16,-16
trial 42,rider 3,path 2,13,1,-21.0,-21,-21
trial 42,rider 3,path 3,24,2,-15.5,-19,-12
trial 43,rider 1,path 1,11,1,-22.0,-22,-22
trial 43,rider 1,path 2,35,3,-8.333333333333334,-19,2
trial 43,rider 2,path 1,23,1,-16.0,-16,-16
trial 43,rider 2,path 2,23,1,-16.0,-16,-16
trial 43,rider 3,path 1,23,1,-16.0,-16,-16
trial 43,rider 3,path 2,31,3,-11.0,-18,-4
trial 43,rider 3,path 3,37,3,-9.666666666666666,-20,0
trial 44,rider 1,path 1,13,1,-21.0,-21,-21
trial 44,rider 1,path 2,48,5,-5.8,-24,16
trial 44,rider 2,path 1,23,1,-16.0,-16,-16
trial 44,rider 2,path 2,19,1,-18.0,-18,-18
trial 44,rider 2,path 3,31,3,-9.0,-15,-2
trial 44,rider 3,path 1,27,1,-14.0,-14,-14
trial 44,rider 3,path 2,23,1,-16.0,-16,-16
trial 45,rider 1,path 1,22,2,-14.5,-16,-13
trial 45,rider 1,path 2,32,4,-14.25,-30,-5
trial 45,rider 2,path 1,23,1,-16.0,-16,-16
trial 45,rider 2,path 2,15,1,-20.0,-20,-20
trial 45,rider 2,path 3,11,1,-22.0,-22,-22
trial 45,rider 3,path 1,23,1,-16.0,-16,-16
trial 45,rider 3,path 2,40,3,-6.333333333333333,-22,4
trial 46,rider 1,path 1,25,2,-14.5,-18,-11
trial 46,rider 1,path 2,21,1,-17.0,-17,-17
trial 46,rider 2,path 1,23,1,-16.0,-16,-16
trial 46,rider 2,path 2,23,1,-16.0,-16,-16
trial 46,rider 3,path 1,19,1,-18.0,-18,-18
trial 46,rider 3,path 2,64,7,11.428571428571429,-5,30
trial 47,rider 1,path 1,13,1,-21.0,-21,-21
trial 47,rider 1,path 2,25,1,-15.0,-15,-15
trial 47,rider 1,path 3,28,2,-0.5,-3,2
trial 47,rider 2,path 1,38,2,-6.5,-16,3
trial 47,rider 2,path 2,29,1,-13.0,-13,-13
trial 47,rider 3,path 1,25,1,-15.0,-15,-15
trial 47,rider 3,path 2,33,3,-11.0,-21,-3
trial 47,rider 3,path 3,28,2,-6.0,-9,-3
trial 48,rider 1,path 1,13,1,-21.0,-21,-21
trial 48,rider 1,path 2,17,1,-19.0,-19,-19
trial 48,rider 1,path 3,22,2,-16.0,-18,-14
trial 48,rider 1,path 4,26,2,-9.5,-13,-6
trial 48,rider 2,path 1,19,1,-18.0,-18,-18
trial 48,rider 2,path 2,21,1,-17.0,-17,-17
trial 48,rider 2,path 3,27,1,-10.0,-10,-10
trial 48,rider 3,path 1,21,1,-17.0,-17,-17
trial 48,rider 3,path 2,17,1,-19.0,-19,-19
trial 48,rider 3,path 3,29,2,-12.5,-17,-8
trial 49,rider 1,path 1,33,3,-9.666666666666666,-14,-3
trial 49,rider 2,path 1,21,1,-17.0,-17,-17
trial 49,rider 2,path 2,30,2,-9.5,-10,-9
trial 49,rider 2,path 3,42,3,2.3333333333333335,-6,17
trial 49,rider 3,path 1,23,1,-16.0,-16,-16
trial 49,rider 3,path 2,39,3,-7.333333333333333,-16,0
trial 50,rider 1,path 1,29,1,-13.0,-13,-13
trial 50,rider 1,path 2,44,3,-2.6666666666666665,-10,5
trial 50,rider 2,path 1,60,6,3.3333333333333335,-20,24
trial 50,rider 3,path 1,13,1,-21.0,-21,-21
trial 50,rider 3,path 2,31,1,-8.0,-8,-8
trial 50,rider 3,path 3,23,1,-16.0,-16,-16
trial 51,rider 1,path 1,13,1,-21.0,-21,-21
trial 51,rider 1,path 2,34,2,-11.5,-16,-7
trial 51,rider 1,path 3,28,2,-1.0,-10,8
trial 51,rider 2,path 1,40,3,-8.0,-20,3
trial 51,rider 2,path 2,28,2,-4.5,-15,6
trial 51,rider 3,path 1,15,1,-20.0,-20,-20
trial 51,rider 3,path 2,30,2,-14.0,-21,-7
trial 52,rider 1,path 1,23,1,-16.0,-16,-16
trial 52,rider 1,path 2,13,1,-21.0,-21,-21
trial 52,rider 2,path 1,13,1,-21.0,-21,-21
trial 52,rider 2,path 2,55,6,2.8333333333333335,-21,27
trial 52,rider 3,path 1,27,1,-14.0,-14,-14
trial 52,rider 3,path 2,26,3,-17.333333333333332,-27,-6
trial 53,rider 1,path 1,46,4,-4.5,-15,9
trial 53,rider 1,path 2,40,3,-5.0,-17,9
trial 53,rider 2,path 1,27,1,-14.0,-14,-14
trial 53,rider 2,path 2,32,2,-8.5,-15,-2
trial 53,rider 3,path 1,23,1,-16.0,-16,-16
trial 53,rider 3,path 2,32,2,-6.5,-7,-6
trial 54,rider 1,path 1,9,1,-21.0,-21,-21
trial 54,rider 1,path 2,23,1,-16.0,-16,-16
trial 54,rider 1,path 3,19,1,-9.0,-9,-9
trial 54,rider 2,path 1,11,1,-22.0,-22,-22
trial 54,rider 2,path 2,23,2,-18.5,-30,-7
trial 54,rider 2,path 3,29,1,-13.0,-13,-13
trial 54,rider 3,path 1,19,1,-18.0,-18,-18
trial 54,rider 3,path 2,29,1,-13.0,-13,-13
trial 54,rider 3,path 3,47,4,0.5,-8,10
trial 55,rider 1,path 1,17,1,-19.0,-19,-19
trial 55,rider 1,path 2,35,3,-5.666666666666667,-14,0
trial 55,rider 2,path 1,23,1,-16.0,-16,-16
trial 55,rider 2,path 2,13,1,-21.0,-21,-21
trial 55,rider 3,path 1,23,1,-16.0,-16,-16
trial 55,rider 3,path 2,59,6,4.333333333333333,-15,25
trial 56,rider 1,path 1,61,7,5.0,-15,32
trial 56,rider 2,path 1,21,1,-17.0,-17,-17
trial 56,rider 2,path 2,21,1,-17.0,-17,-17
trial 56,rider 2,path 3,28,2,-12.0,-17,-7
trial 56,rider 3,path 1,25,1,-15.0,-15,-15
trial 56,rider 3,path 2,23,1,-16.0,-16,-16
trial 57,rider 1,path 1,34,3,-8.666666666666666,-23,6
trial 57,rider 2,path 1,31,1,-12.0,-12,-12
trial 57,rider 2,path 2,34,2,-11.5,-17,-6
trial 57,rider 3,path 1,15,1,-20.0,-20,-20
trial 57,rider 3,path 2,62,6,9.5,-19,41
trial 58,rider 1,path 1,17,1,-19.0,-19,-19
trial 58,rider 1,path 2,23,2,-16.5,-20,-13
trial 58,rider 1,path 3,22,2,-10.5,-19,-2
trial 58,rider 2,path 1,23,1,-16.0,-16,-16
trial 58,rider 2,path 2,9,1,-23.0,-23,-23
trial 58,rider 2,path 3,19,1,-14.0,-14,-14
trial 58,rider 3,path 1,23,1,-16.0,-16,-16
trial 58,rider 3,path 2,21,2,-17.0,-24,-10
trial 58,rider 3,path 3,28,2,-12.5,-20,-5
trial 59,rider 1,path 1,7,1,-24.0,-24,-24
trial 59,rider 1,path 2,34,4,-4.5,-14,5
trial 59,rider 1,path 3,28,2,-7.5,-12,-3
trial 59,rider 2,path 1,21,1,-17.0,-17,-17
trial 59,rider 2,path 2,21,1,-17.0,-17,-17
trial 59,rider 3,path 1,21,1,-17.0,-17,-17
trial 59,rider 3,path 2,38,3,-3.6666666666666665,-19,12
trial 60,rider 1,path 1,38,2,-9.0,-17,-1
trial 60,rider 1,path 2,43,3,1.3333333333333333,-5,5
trial 60,rider 2,path 1,27,1,-14.0,-14,-14
trial 60,rider 2,path 2,42,4,-5.75,-19,2
trial 60,rider 3,path 1,29,1,-13.0,-13,-13
trial 60,rider 3,path 2,38,2,1.0,-8,10
trial 61,rider 1,path 1,19,1,-18.0,-18,-18
trial 61,rider 1,path 2,55,6,5.166666666666667,-17,31
trial 61,rider 2,path 1,29,1,-13.0,-13,-13
trial 61,rider 2,path 2,21,1,-17.0,-17,-17
trial 61,rider 2,path 3,28,2,-6.5,-14,1
trial 61,rider 3,path 1,23,1,-16.0,-16,-16
trial 61,rider 3,path 2,23,1,-16.0,-16,-16
trial 62,rider 1,path 1,37,3,-8.0,-17,5
trial 62,rider 1,path 2,13,1,-19.0,-19,-19
trial 62,rider 2,path 1,30,2,-12.0,-16,-8
trial 62,rider 2,path 2,33,2,-14.0,-21,-7
trial 62,rider 3,path 1,27,1,-14.0,-14,-14
trial 62,rider 3,path 2,43,4,-4.25,-19,21
trial 63,rider 1,path 1,19,1,-17.0,-17,-17
trial 63,rider 1,path 2,53,5,1.6,-16,20
trial 63,rider 2,path 1,19,1,-18.0,-18,-18
trial 63,rider 2,path 2,21,1,-16.0,-16,-16
trial 63,rider 2,path 3,28,2,-14.0,-20,-8
trial 63,rider 3,path 1,13,1,-21.0,-21,-21
trial 63,rider 3,path 2,35,2,-9.5,-19,0
trial 64,rider 1,path 1,13,1,-21.0,-21,-21
trial 64,rider 1,path 2,38,3,-8.333333333333334,-16,3
trial 64,rider 1,path 3,23,1,-8.0,-8,-8
trial 64,rider 2,path 1,21,1,-17.0,-17,-17
trial 64,rider 2,path 2,33,3,-8.666666666666666,-16,-1
trial 64,rider 3,path 1,15,1,-20.0,-20,-20
trial 64,rider 3,path 2,15,1,-20.0,-20,-20
trial 64,rider 3,path 3,30,2,-10.5,-13,-8
trial 65,rider 1,path 1,40,3,-4.333333333333333,-13,5
trial 65,rider 1,path 2,23,1,-12.0,-12,-12
trial 65,rider 2,path 1,27,1,-14.0,-14,-14
trial 65,rider 2,path 2,34,2,-11.5,-19,-4
trial 65,rider 3,path 1,17,1,-19.0,-19,-19
trial 65,rider 3,path 2,17,1,-19.0,-19,-19
trial 65,rider 3,path 3,48,4,-3.75,-16,12
trial 66,rider 1,path 1,39,3,-6.333333333333333,-16,2
trial 66,rider 2,path 1,27,1,-14.0,-14,-14
trial 66,rider 2,path 2,44,4,-6.5,-21,6
trial 66,rider 3,path 1,17,1,-19.0,-19,-19
trial 66,rider 3,path 2,23,1,-16.0,-16,-16
trial 66,rider 3,path 3,44,3,-5.333333333333333,-16,4
trial 67,rider 1,path 1,20,2,-16.0,-21,-11
trial 67,rider 1,path 2,43,4,-4.5,-13,8
trial 67,rider 2,path 1,17,1,-19.0,-19,-19
trial 67,rider 2,path 2,29,2,-12.5,-15,-10
trial 67,rider 3,path 1,19,1,-18.0,-18,-18
trial 67,rider 3,path 2,17,1,-12.0,-12,-12
trial 67,rider 3,path 3,26,2,-14.0,-16,-12
trial 68,rider 1,path 1,21,2,-16.0,-19,-13
trial 68,rider 1,path 2,40,4,4.0,-16,15
trial 68,rider 2,path 1,21,1,-17.0,-17,-17
trial 68,rider 2,path 2,21,1,-17.0,-17,-17
trial 68,rider 2,path 3,23,1,-16.0,-16,-16
trial 68,rider 3,path 1,23,1,-16.0,-16,-16
trial 68,rider 3,path 2,41,3,-5.333333333333333,-14,7
trial 69,rider 1,path 1,21,1,-17.0,-17,-17
trial 69,rider 1,path 2,29,3,-12.333333333333334,-21,-8
trial 69,rider 2,path 1,11,1,-22.0,-22,-22
trial 69,rider 2,path 2,35,3,-8.0,-20,0
trial 69,rider 2,path 3,26,2,-1.5,-4,1
trial 69,rider 3,path 1,23,1,-16.0,-16,-16
trial 69,rider 3,path 2,34,2,-4.5,-11,2
trial 70,rider 1,path 1,11,1,-22.0,-22,-22
trial 70,rider 1,path 2,38,4,0.5,-20,24
trial 70,rider 2,path 1,25,1,-15.0,-15,-15
